文件名,域(子目录),rule_id,推断卡型,置信度,推断依据,相对路径
R-PI-383-医院法治建设嵌入三路径裁判规则.md,人伤专业,R-PI-383,通用裁判规则卡,0.85,命中裁判段名族:规则摘要/适用情形,R-PI-383-医院法治建设嵌入三路径裁判规则.md
R-PI-381-医疗纠纷新形势与预防裁判规则.md,人伤专业,R-PI-381,通用裁判规则卡,0.85,命中裁判段名族:规则摘要/适用情形/核心裁判,R-PI-381-医疗纠纷新形势与预防裁判规则.md
R-PI-382-医调委全流程指南裁判规则.md,人伤专业,R-PI-382,通用裁判规则卡,0.85,命中裁判段名族:规则摘要/适用情形,R-PI-382-医调委全流程指南裁判规则.md
R-HG-082-五位一体体系有效性评价裁判规则.md,合规监管,R-HG-082,通用裁判规则卡,0.85,命中裁判段名族:规则摘要/核心要点/适用情形,R-HG-082-五位一体体系有效性评价裁判规则.md
R-HG-083-现金工资发放声明风险裁判规则.md,合规监管,R-HG-083,通用裁判规则卡,0.85,命中裁判段名族:规则摘要/核心要点/适用情形,R-HG-083-现金工资发放声明风险裁判规则.md
R-HG-081-员工入职承诺函用工风险裁判规则.md,合规监管,R-HG-081,通用裁判规则卡,0.85,命中裁判段名族:规则摘要/核心要点/适用情形,R-HG-081-员工入职承诺函用工风险裁判规则.md
R-CF-154-公开募捐生态下沉趋势裁判规则.md,慈善,R-CF-154,通用裁判规则卡,0.85,命中裁判段名族:规则摘要/核心要点/适用情形,R-CF-154-公开募捐生态下沉趋势裁判规则.md
R-CF-155-AI时代慈善组织数字底座裁判规则.md,慈善,R-CF-155,通用裁判规则卡,0.85,命中裁判段名族:规则摘要/核心要点/适用情形,R-CF-155-AI时代慈善组织数字底座裁判规则.md
R-CF-153-基金会互拨资金受托代理裁判规则.md,慈善,R-CF-153,通用裁判规则卡,0.85,命中裁判段名族:规则摘要/核心要点/适用情形,R-CF-153-基金会互拨资金受托代理裁判规则.md
R-LN-112-终本后七项执行追击动作.md,律师实务,R-LN-112,通用裁判规则卡,0.85,命中裁判段名族:规则摘要/法条依据/蓝队要点/红队要点,R-LN-112-终本后七项执行追击动作.md
R-LN-111-判决认证瑕疵的二审审查边界.md,律师实务,R-LN-111,通用裁判规则卡,0.85,命中裁判段名族:规则摘要/法条依据/蓝队要点/红队要点,R-LN-111-判决认证瑕疵的二审审查边界.md
R-LN-110-开庭五实战技巧.md,律师实务,R-LN-110,通用裁判规则卡,0.85,命中裁判段名族:规则摘要/法条依据/蓝队要点/红队要点,R-LN-110-开庭五实战技巧.md
R-HT-272-合同审核四大思维与十大要点.md,合同风险,R-HT-272,通用裁判规则卡,0.85,命中裁判段名族:规则摘要/法条依据/蓝队要点/红队要点,R-HT-272-合同审核四大思维与十大要点.md
R-HT-273-定制服务合同审查要点.md,合同风险,R-HT-273,通用裁判规则卡,0.85,命中裁判段名族:规则摘要/法条依据/蓝队要点/红队要点,R-HT-273-定制服务合同审查要点.md
R-HT-274-商标许可使用合同审查要点.md,合同风险,R-HT-274,通用裁判规则卡,0.85,命中裁判段名族:规则摘要/法条依据/蓝队要点/红队要点,R-HT-274-商标许可使用合同审查要点.md
