序号,是否派发接驳目标,卡号,标题,卡型,域码,代际,所属集群,集群名称,文件路径,当前ref,建议接驳方向
1,是,R-PI-364,微信私聊问诊的诊疗行为定性与非合规风险边界,实务规则卡,PI,一代,C1,立案定性集群,/Users/chenyouqiang/Documents/LawKB/知识飞轮系统/06-沉淀/裁判规则库/人伤法/R-PI-287-微信私聊问诊的诊疗行为定性与非合规风险边界.md,0,接驳到案由路由卡/请求权基础调用面：蓝队定性分野、起诉状起草、吊顶案/雅菲案案由定性复盘
2,是,R-LN-101,跨案录音证据复用模式识别（办案方法论）,实务规则卡,LN,二代,C3,举证质证集群,/Users/chenyouqiang/Documents/LawKB/知识飞轮系统/06-沉淀/裁判规则库/学习笔记/R-LN-050_跨案录音证据复用模式识别.md,0,接驳到证据规则调用面：质证提纲、红蓝对抗举证要点、韩杰医疗事故罪再审证据梳理
3,是,R-LN-103,R-LN-022 人格否认以独立意思与独立财产为根本标准清算责任因果关系举证责任倒置,实务规则卡,LN,二代,C3,举证质证集群,/Users/chenyouqiang/Documents/LawKB/知识飞轮系统/06-沉淀/裁判规则库/学习笔记/R-LN-022-人格否认以独立意思与独立财产为根本标准清算责任因果关系举证责任倒置.md,0,接驳到证据规则调用面：质证提纲、红蓝对抗举证要点、韩杰医疗事故罪再审证据梳理
4,是,R-PI-356,R-PI-157 医疗告知义务代签规则——程序瑕疵≠实质过错·举证不能不利,实务规则卡,PI,二代,C3,举证质证集群,/Users/chenyouqiang/Documents/LawKB/知识飞轮系统/06-沉淀/裁判规则库/人伤法/R-PI-157-医疗告知义务代签与举证不能.md,0,接驳到证据规则调用面：质证提纲、红蓝对抗举证要点、韩杰医疗事故罪再审证据梳理
5,是,R-PI-365,电子病历封存与操作日志取证——医疗纠纷证据战第一战场,实务规则卡,PI,一代,C3,举证质证集群,/Users/chenyouqiang/Documents/LawKB/知识飞轮系统/06-沉淀/裁判规则库/人伤法/R-PI-288-电子病历封存与操作日志取证实务边界.md,0,接驳到证据规则调用面：质证提纲、红蓝对抗举证要点、韩杰医疗事故罪再审证据梳理
6,是,R-PR-084,R-PR-058 微信聊天记录证据提交规范——三性审查·原始载体·完整无删改,实务规则卡,PR,二代,C3,举证质证集群,/Users/chenyouqiang/Documents/LawKB/知识飞轮系统/06-沉淀/裁判规则库/公众号/R-LN-024-微信聊天记录证据提交规范.md,0,接驳到证据规则调用面：质证提纲、红蓝对抗举证要点、韩杰医疗事故罪再审证据梳理
7,是,R-LN-097,同案同被告双轨并行模式识别（办案方法论）,实务规则卡,LN,二代,C4,文书生成集群,/Users/chenyouqiang/Documents/LawKB/知识飞轮系统/06-沉淀/裁判规则库/学习笔记/R-LN-046_同案同被告双轨并行模式识别.md,0,接驳到文书范式调用面：代理词/答辩状要素式模板、文书生成流水线挂载
8,是,R-LN-098,实际买受人穿透模式识别（办案方法论）,实务规则卡,LN,二代,C4,文书生成集群,/Users/chenyouqiang/Documents/LawKB/知识飞轮系统/06-沉淀/裁判规则库/学习笔记/R-LN-047_实际买受人穿透模式识别.md,0,接驳到文书范式调用面：代理词/答辩状要素式模板、文书生成流水线挂载
9,是,R-LN-099,原告主体瑕疵程序战模式识别（办案方法论）,实务规则卡,LN,二代,C4,文书生成集群,/Users/chenyouqiang/Documents/LawKB/知识飞轮系统/06-沉淀/裁判规则库/学习笔记/R-LN-048_原告主体瑕疵程序战模式识别.md,0,接驳到文书范式调用面：代理词/答辩状要素式模板、文书生成流水线挂载
10,是,R-LN-100,关联案撤诉应对模式识别（办案方法论）,实务规则卡,LN,二代,C4,文书生成集群,/Users/chenyouqiang/Documents/LawKB/知识飞轮系统/06-沉淀/裁判规则库/学习笔记/R-LN-049_关联案撤诉应对模式识别.md,0,接驳到文书范式调用面：代理词/答辩状要素式模板、文书生成流水线挂载
11,是,R-LN-102,R-LN-021 商业诋毁不以竞争关系为要件误导性信息三类情形可构成损害不以实际发生为要件,实务规则卡,LN,二代,C4,文书生成集群,/Users/chenyouqiang/Documents/LawKB/知识飞轮系统/06-沉淀/裁判规则库/学习笔记/R-LN-021-商业诋毁不以竞争关系为要件误导性信息三类情形可构成损害不以实际发生为要件.md,0,接驳到文书范式调用面：代理词/答辩状要素式模板、文书生成流水线挂载
12,是,R-LN-104,R-LN-023 股东资格内外有别实质与形式相结合显名须其他股东半数同意失权异议三十日起诉,实务规则卡,LN,二代,C4,文书生成集群,/Users/chenyouqiang/Documents/LawKB/知识飞轮系统/06-沉淀/裁判规则库/学习笔记/R-LN-023-股东资格内外有别实质与形式相结合显名须其他股东半数同意失权异议三十日起诉.md,0,接驳到文书范式调用面：代理词/答辩状要素式模板、文书生成流水线挂载
13,是,R-PI-366,医疗事故鉴定与医疗损害鉴定的本质区别与裁判适用,实务规则卡,PI,一代,C4,文书生成集群,/Users/chenyouqiang/Documents/LawKB/知识飞轮系统/06-沉淀/裁判规则库/人伤法/R-PI-289-医疗事故鉴定与医疗损害鉴定的本质区别与裁判适用.md,0,接驳到文书范式调用面：代理词/答辩状要素式模板、文书生成流水线挂载
14,是,R-LN-105,会话级状态误判为项目级常量——MCP 通道结论不带时间戳且交付后未复测，致两处法理表述臆断入库的事故教训,工程事故卡,LN,二代,C5,赔偿精算集群,/Users/chenyouqiang/Documents/LawKB/知识飞轮系统/06-沉淀/裁判规则库/律师实务/R-LN-059-MCP状态会话级误判为常量.md,0,接驳到赔偿计算调用面：人伤定损清单、工伤/交通赔偿精算、航合物流事故定损
15,否,R-HG-077,R-CF-076-慈善合规数值红线速查-LTI映射桥,通用裁判规则卡,HG,一代,SHARED,共享公地弹药池,/Users/chenyouqiang/Documents/LawKB/知识飞轮系统/06-沉淀/裁判规则库/慈善/R-CF-076-慈善合规数值红线速查-LTI映射桥.md,0,否（共享公地弹药）：通用裁判规则卡为多集群共享，按既有 shared_pool 机制调用，不单点派发
16,已补标接驳,R-HT-255,R-HT-249-学校食堂委托管理服务合同食安合规与转包红线,实务规则卡,HT,一代,SHARED,共享公地弹药池,/Users/chenyouqiang/Documents/LawKB/知识飞轮系统/06-沉淀/裁判规则库/合同风险/R-HT-249-学校食堂委托管理服务合同食安合规与转包红线.md,≥1（接驳后）,卡型判定=实务规则卡(card_type_inferred:true)；接驳=合同审查工作流+合同风险实务规则卡接驳清册；ref 0→≥1；撞号重编痕迹rule_id_prev保留
